x,y_(ТЦ2м_Em650.txt),y_(ТЦ2м_Em425.txt),y_(ТЦ2м_Em370.txt),y_(ТЦ2м_Em405.txt)
706,1.962896,1.933957,1.814812,2.745913
707,1.960840,1.973730,1.830293,2.768083
708,2.012486,2.008526,1.857367,2.815805
709,2.033693,2.020486,1.865651,2.841071
710,2.029179,2.044421,1.871350,2.863564
711,2.153264,2.067649,1.879768,2.870690
712,2.174067,2.091840,1.879101,2.883007
713,2.110788,2.109274,1.866287,2.881253
714,2.163911,2.116297,1.881924,2.861552
715,2.230319,2.121346,1.913749,2.876528
716,2.201234,2.122569,1.910358,2.872603
717,2.077995,2.153859,1.898856,2.840555
718,2.072126,2.178087,1.910861,2.815472
719,2.156543,2.167798,1.906557,2.805521
720,2.169095,2.149535,1.866888,2.787027
721,2.177307,2.133092,1.846805,2.751935
722,2.137957,2.129215,1.812635,2.729815
723,2.088021,2.124356,1.774927,2.708061
724,2.051374,2.116766,1.760285,2.679127
725,2.012645,2.090840,1.721446,2.627334
726,2.021379,2.048085,1.657025,2.554426
727,1.984701,1.996520,1.583092,2.453866
728,1.882323,1.922686,1.502750,2.372722
729,1.811122,1.835043,1.436090,2.303363
730,1.786702,1.778164,1.384789,2.207206
731,1.745249,1.714859,1.315698,2.106909
732,1.680067,1.622693,1.250694,1.969626
733,1.621353,1.527702,1.196644,1.842806
734,1.582247,1.430793,1.132794,1.751543
735,1.522182,1.334396,1.075214,1.667910
736,1.469302,1.272915,1.020229,1.577689
737,1.441629,1.230396,0.970186,1.480085
738,1.346029,1.165582,0.921080,1.391776
739,1.295141,1.089897,0.859184,1.310636
740,1.291586,1.026234,0.834869,1.237756
741,1.233213,0.970453,0.827549,1.183058
742,1.178917,0.902208,0.771446,1.132590
743,1.094552,0.862918,0.705360,1.069636
744,1.024024,0.824374,0.669513,1.014337
745,1.007438,0.772013,0.630316,0.952111
746,0.931459,0.733896,0.592617,0.894587
747,0.847785,0.705184,0.570108,0.853254
748,0.799537,0.676577,0.536338,0.814735
749,0.765740,0.637904,0.491646,0.782384
750,0.763861,0.598121,0.469006,0.729970
751,0.725210,0.561953,0.459102,0.677238
752,0.708019,0.535757,0.440802,0.646956
753,0.686104,0.519355,0.436930,0.607396
754,0.603331,0.489546,0.415548,0.587675
755,0.544528,0.450437,0.397307,0.562627
756,0.541221,0.429467,0.394842,0.526113
757,0.549007,0.413722,0.385429,0.515501
758,0.552072,0.392225,0.379243,0.509581
759,0.543061,0.373311,0.370275,0.483281
760,0.510307,0.370984,0.347885,0.445982
761,0.500926,0.368744,0.332712,0.427549
762,0.502470,0.345850,0.325677,0.418994
763,0.467775,0.326574,0.325150,0.415267
764,0.460057,0.315336,0.319943,0.400444
765,0.500495,0.310723,0.306213,0.383754
766,0.505560,0.304953,0.302640,0.384456
767,0.489472,0.293319,0.297833,0.374752
768,0.445446,0.281974,0.291639,0.357624
769,0.440611,0.272842,0.281205,0.348520
770,0.492235,0.264216,0.282563,0.339383
771,0.454229,0.258646,0.293442,0.331122
772,0.414524,0.260169,0.280560,0.326420
773,0.438902,0.261266,0.270728,0.325825
774,0.450816,0.255782,0.270883,0.319018
775,0.434238,0.247532,0.263470,0.310270
776,0.433163,0.247332,0.261623,0.306611
777,0.441382,0.246896,0.276492,0.300771
778,0.422870,0.237095,0.273710,0.291595
779,0.443843,0.263025,0.277068,0.327698
780,0.484654,0.300571,0.300556,0.383213
781,0.504441,0.306100,0.307349,0.389713
782,0.497417,0.308011,0.311832,0.380377
783,0.469682,0.312673,0.309423,0.384291
784,0.461663,0.315642,0.307106,0.389489
785,0.455561,0.312434,0.294037,0.389495
786,0.460094,0.309427,0.286916,0.394398
787,0.481520,0.308234,0.283363,0.394051
788,0.469695,0.305977,0.274656,0.379303
789,0.456906,0.298520,0.272617,0.375767
790,0.469598,0.285872,0.276527,0.380312
791,0.475386,0.284819,0.275137,0.377304
792,0.484026,0.294797,0.249724,0.368876
793,0.467702,0.294879,0.257200,0.350514
794,0.446591,0.290719,0.268496,0.338977
795,0.437573,0.284381,0.253012,0.334431
796,0.457562,0.275618,0.255855,0.326658
797,0.497015,0.270187,0.251490,0.323032
798,0.490602,0.266230,0.236464,0.324332
799,0.469945,0.264560,0.229527,0.324947
800,0.463131,0.264044,0.227249,0.325203
